Name,Address,Lat,Long,Status,Status_Simple,Owner,Owner Type,Operator,Developer,Capacity MW electricity,Capacity MW gas,Capacity MW heat,Tonnes of waste pa,Typology Of Technology,Simple Renewable Technology  Type,Technology Provider,Potential Carbon Reduction (tonnes),Calculated Carbon Reduction (Tonnes per year),Conditions For Deployment,Timetable,Other Associated Infrastructure,Scale,Cost Of Deployment,Readiness Of Technology,Source of information,Date found,Found by
Ecopod Energy,"Methley House, Bantock Way, Birmingham, B17 0JD",52.455614,-1.946556,Operating,Operating,Birmingham City Council,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",1683,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Ecopod Energy,"Derwent House, Bantock Way, Birmingham, B17 0JD",52.455133,-1.946989,Operating,Operating,Birmingham City Council,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",1683,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Ecopod Energy,"Coniston House, Bantock Way, B17 0JG",52.454524,-1.946965,Operating ,Operating,Birmingham City Council,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",1683,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Ecopod Energy,"Dowry House, 389 Rubery Lane, Rubery, Birmingham, B45 9SH",52.400135,-2.018522,Operating,Operating,Birmingham City Council,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",1683,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Ecopod Energy,"Hillside House, Cock Hill Lane, Rubery, Rednal, Birmingham, B45 9RU",52.399436,-2.018212,Operating,Operating,Birmingham City Council,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",1683,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Ecopod Energy,"Quarry House, Cock Hill Lane, Rubery, Rednal, Birmingham, B45 9RU",52.398948,-2.017876,Operating,Operating,Birmingham City Council,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",1683,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Ecopod Energy,"Redworth House, Deelands Road, Rubery, B45 9RT",52.396654,-2.017285,Operating,Operating,Birmingham City Council,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",1683,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Ecopod Energy,"Rushmore House, Cock Hill Lane, Rubery, Birmingham, B45 9RU",52.396268,-2.016888,Operating,Operating,Birmingham City Council,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",1683,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Ecopod Energy,"Geach Tower, Uxbridge Street, Birmingham, B19 3UP",52.493312,-1.904661,Operating,Operating,Carillion?,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",1683,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Ecopod Energy,"Martineau Tower, Uxbridge Street, Birmingham, B19 3UJ",52.493048,-1.902512,Operating,Operating,Carillion?,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",1683,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Ecopod Energy,"Scholefield Tower, Uxbridge Street, Birmingham, B19 3UN",52.493193,-1.903566,Operating,Operating,Carillion?,Council,"There is currently a £60 million maintenance contract in place across the cities four quadrants, divided between Keepmoat, Wates and Fortem.",Ecopod Energy System,0.6,0.038,,,Modulating Energy Efficient Boilers and Gas Absorption Heat pumps,Heat pump,Ecopod Energy Systems,"90,000 tonnes of CO2 over the life of the project.",1683,Operating,,,Overal 25 Ecopods installed across Birmingham Tower Blocks,,,HECA 2017 SB BCC Report,27/09/18,Jodie Schram
Housing Development,"Icknield Port Loop (IPL) bounded by Ladywood Middleway, Icknield Port Road and Wiggin Street Ladywood Birmingham B16",52.483373,-1.93088,Construction,Potential,JV Urban Splash and Places for People,Commercial,,,,,,,Housing Development,Potential development opportunity,,,0,,,,"1,150 new homes, as well as commercial property and community facilities across the 43 acre site.",,,,,Becki Clark
Fort Parkway Energy,Fort Industrial Park Dunlop Way Castle Bromwich Birmingham B35 7RB,52.511168,-1.803266,Planning Permission Granted: 2017/00256/PA,Planned,Rolton Kilbride,Commercial,Not specified,Rolton Kilbride,8.6,,,,Gasification ,Energy from Waste,Kobelco Eco-Solutions,,23143,"105,000 tonnes of waste per year - residual and refuse derived fuel.",2017 granted planning permission. No further work.,,"Energy for  15,000 homes per year",,,,3/10/18,Becki Clark
New Energy Centre for the Hospital ,Sandwell & West Birmingham Hospitals NHS Trust - City Hospital Dudley Road Birmingham B18 7QH,52.489429,-1.93154,Planning Permission Granted: 2016/07175/PA,Planned,Sandwell & West Birmingham Hospitals NHS Trust,NHS,Not specified,RPS Planning & Development,,,,,"4 HV Substations - 2 City Hospital & 2 WPD
4 Generators",Substations,WPD in part,,0,,,,,,,,,
