Name,Address,Lat,Long,Status,Status_Simple,Owner,Owner Type,Operator,Developer,Capacity MW electricity,Capacity MW gas,Capacity MW heat,Tonnes of waste pa,Typology Of Technology,Simple Renewable Technology  Type,Technology Provider,Potential Carbon Reduction (tonnes),Calculated Carbon Reduction (Tonnes per year),Conditions For Deployment,Timetable,Other Associated Infrastructure,Scale,Cost Of Deployment,Readiness Of Technology,Source of information,Date found,Found by
Aggregate PV Domestic and Commercial,B26,52.4608,-1.79293,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.10194,,,,Photovoltaics,Photovoltaics,,,274,,,,,,,,,
Aggregate PV Domestic and Commercial,B27,52.4458,-1.82375,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.18867,,,,Photovoltaics,Photovoltaics,,,508,,,,,,,,,
Aggregate PV Domestic and Commercial,B28,52.4278,-1.84322,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.13857,,,,Photovoltaics,Photovoltaics,,,373,,,,,,,,,
Aggregate PV Domestic and Commercial,B29,52.4377,-1.94599,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.19957,,,,Photovoltaics,Photovoltaics,,,537,,,,,,,,,
Aggregate PV Domestic and Commercial,B30,52.4212,-1.92810,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.12241,,,,Photovoltaics,Photovoltaics,,,329,,,,,,,,,
Aggregate PV Domestic and Commercial,B31,52.4092,-1.97308,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.39557,,,,Photovoltaics,Photovoltaics,,,1065,,,,,,,,,
Aggregate PV Domestic and Commercial,B32,52.4508,-1.99446,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.33995,,,,Photovoltaics,Photovoltaics,,,915,,,,,,,,,
Aggregate PV Domestic and Commercial,B33,52.4807,-1.78786,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.30376,,,,Photovoltaics,Photovoltaics,,,817,,,,,,,,,
Aggregate PV Domestic and Commercial,B34,52.4957,-1.78168,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.17292,,,,Photovoltaics,Photovoltaics,,,465,,,,,,,,,
Aggregate PV Domestic and Commercial,B35,52.5173,-1.78995,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.13628,,,,Photovoltaics,Photovoltaics,,,367,,,,,,,,,
Aggregate PV Domestic and Commercial,B36,52.5045,-1.77986,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.10785,,,,Photovoltaics,Photovoltaics,,,290,,,,,,,,,
Aggregate PV Domestic and Commercial,B37,52.4784,-1.74183,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.00716,,,,Photovoltaics,Photovoltaics,,,19,,,,,,,,,
Aggregate PV Domestic and Commercial,B38,52.4010,-1.93407,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.19678,,,,Photovoltaics,Photovoltaics,,,530,,,,,,,,,
Aggregate PV Domestic and Commercial,B42,52.5346,-1.90515,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.16339,,,,Photovoltaics,Photovoltaics,,,440,,,,,,,,,
Aggregate PV Domestic and Commercial,B43,52.5476,-1.92825,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.01242,,,,Photovoltaics,Photovoltaics,,,33,,,,,,,,,
Aggregate PV Domestic and Commercial,B44,52.5450,-1.88567,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.23961,,,,Photovoltaics,Photovoltaics,,,645,,,,,,,,,
Aggregate PV Domestic and Commercial,B45,52.3886,-2.00864,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.18279,,,,Photovoltaics,Photovoltaics,,,492,,,,,,,,,
Aggregate PV Domestic and Commercial,B5,52.4722,-1.89687,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.10419,,,,Photovoltaics,Photovoltaics,,,280,,,,,,,,,
Aggregate PV Domestic and Commercial,B6,52.5024,-1.88693,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.31299,,,,Photovoltaics,Photovoltaics,,,842,,,,,,,,,
Aggregate PV Domestic and Commercial,B62,52.4597,-2.03698,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.008,,,,Photovoltaics,Photovoltaics,,,22,,,,,,,,,
Aggregate PV Domestic and Commercial,B7,52.4938,-1.87438,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.14462,,,,Photovoltaics,Photovoltaics,,,389,,,,,,,,,
Aggregate PV Domestic and Commercial,B72,52.5545,-1.82364,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.07407,,,,Photovoltaics,Photovoltaics,,,199,,,,,,,,,
Aggregate PV Domestic and Commercial,B73,52.5593,-1.83769,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.11648,,,,Photovoltaics,Photovoltaics,,,313,,,,,,,,,
Aggregate PV Domestic and Commercial,B74,52.5824,-1.85733,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.12148,,,,Photovoltaics,Photovoltaics,,,327,,,,,,,,,
Aggregate PV Domestic and Commercial,B75,52.5778,-1.81125,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.4209,,,,Photovoltaics,Photovoltaics,,,1133,,,,,,,,,
Aggregate PV Domestic and Commercial,B76,52.5447,-1.78995,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.16351,,,,Photovoltaics,Photovoltaics,,,440,,,,,,,,,
Aggregate PV Domestic and Commercial,B8,52.4900,-1.84277,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.10469,,,,Photovoltaics,Photovoltaics,,,282,,,,,,,,,
Aggregate PV Domestic and Commercial,B9,52.4781,-1.85281,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,N/A,Various,0.24906,,,,Photovoltaics,Photovoltaics,,,670,,,,,,,,,
Aston Street,"60 Aston Street, Birmingham, West Midlands, B4 7ET",52.486040,-1.889850,Installed and operating,Operating,Commercial,Commercial,Charge Your Car,,,,,,EV Charging Point,EV Charging Point,2 x  7kW 32A  Type 2 Mennekes,"Mileage travelled by Council Fleet pa is e.g. 10,000 miles per year per vehicle e.g. 60? NOTE - account for this only once in this spreadsheet.",,,,,,,,ZapMap,7/11/18,Becki Clark
Millenium Point Car Park,"Howe Street, Birmingham, West Midlands, B4 7AP",52.484390,-1.885330,Installed and operating,Operating,Council,Council,"POLAR, Plugged-in Midlands",,,,,,EV Charging Point,EV Charging Point,2 x  7kW 32A  Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
The Priory Rooms Meeting and Conference Centre,"40 Bull Street, Birmingham, West Midlands, B4 6AF1",52.482010,-1.896400,Installed and operating,Operating,Commercial,Commercial,ZeroNet,,,,,,EV Charging Point,EV Charging Point,"1 x  3kW 13A  3-Square pin, 1 x  7kW 32A  Type 2 Mennekes",,,,,,,,,ZapMap,7/11/18,Becki Clark
Saren Engineering Birmingham,"43 Great Lister Street, Birmingham, West Midlands, B7 4LW",52.489690,-1.883610,Installed and operating,Operating,Commercial,Commercial,Other,,,,,,EV Charging Point,EV Charging Point,1 x  3kW 16A  Type 1 Yazaki,,,,,,,,,ZapMap,7/11/18,Becki Clark
Lodge Tyres,"Unit 2 Adam Street, Nechells, Birmingham, West Midlands, B7 4DH",52.496750,-1.881160,Installed and operating,Operating,Commercial,Commercial,Other,,,,,,EV Charging Point,EV Charging Point,3 x  22kW 32A Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Livery Street (Snow Hill),"Livery Street (Snow Hill), Birmingham, West Midlands, B3 2BJ",52.485250,-1.902500,Installed and operating,Operating,Commercial,Commercial,POLAR,,,,,,EV Charging Point,EV Charging Point,2 x  7kW 32A  Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Temple Row,"Temple Row, Birmingham, West Midlands, B2 5NY",52.480900,-1.899710,Installed and operating,Operating,Council,Council,"POLAR, Plugged-in Midlands",,,,,,EV Charging Point,EV Charging Point,2 x  22kW 32A Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Bullring Car Park,"Park Street, Birmingham, West Midlands, B5 4BP",52.478330,-1.892440,Installed and operating,Operating,Council,Council,"POLAR, Plugged-in Midlands",,,,,,EV Charging Point,EV Charging Point,"2 x  3kW 16A  Type 2 Mennekes, 2 x  7kW 32A  Type 2 Mennekes",,,,,,,,,ZapMap,7/11/18,Becki Clark
Margaret Street,"Margaret Street, Birmingham, West Midlands, B3 3BX",52.481150,-1.903730,Installed and operating,Operating,Council,Council,"POLAR, Plugged-in Midlands",,,,,,EV Charging Point,EV Charging Point,2 x  22kW 32A Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Bullring Shopping Centre,"Section 2G and 2F, Main Centre Car Park, Birmingham, West Midlands, B5 4BU",52.578360,-1.879410,Installed and operating,Operating,Commercial,Commercial,POD Point Open Charge,,,,,,EV Charging Point,EV Charging Point,"6 x  7kW 32A  Type 2 Mennekes, 2 x  22kW 32A Type 2 Mennekes",,,,,,,,,ZapMap,7/11/18,Becki Clark
Dudley Street Car Park,"Dudley Street, Birmingham, West Midlands, B5 4PJ",52.476490,-1.896940,Installed and operating,Operating,Council,Council,"POLAR, Plugged-in Midlands",,,,,,EV Charging Point,EV Charging Point,2 x  7kW 32A  Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Moat Lane Car Park,"Moat Lane, Birmingham, West Midlands, B5 5BD",52.475750,-1.890750,Installed and operating,Operating,Council,Council,"POLAR, Plugged-in Midlands",,,,,,EV Charging Point,EV Charging Point,2 x  7kW 32A  Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Town Hall Car Park,"Brunel Street, Birmingham, West Midlands, B5 4AF",52.477900,-1.901920,Installed and operating,Operating,Council,Council,"POLAR, Plugged-in Midlands",,,,,,EV Charging Point,EV Charging Point,2 x  7kW 32A  Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Brindley Drive Car Park,"Paradise Circus, Brindley Drive, Birmingham, West Midlands, B1 2NB",52.480650,-1.909090,Installed and operating,Operating,Council,Council,"POLAR, Plugged-in Midlands",,,,,,EV Charging Point,EV Charging Point,2 x  3kW 16A  Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Pershore Street Car Park,"Pershore Street, Birmingham, West Midlands, B5 6PA",52.473270,-1.893890,Installed and operating,Operating,Council,Council,"POLAR, Plugged-in Midlands",,,,,,EV Charging Point,EV Charging Point,2 x  7kW 32A  Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Jewellery Quarter Car Park,"Vyse Street, Birmingham, West Midlands, B18 6LP",52.491420,-1.911240,Installed and operating,Operating,Council,Council,"POLAR, Plugged-in Midlands",,,,,,EV Charging Point,EV Charging Point,2 x  7kW 32A  Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Q Park Brindley Place,"1 Brunswick Street, Birmingham, West Midlands, B1 2JF",52.477680,-1.914550,Installed and operating,Operating,Commercial,Commercial,POLAR,,,,,,EV Charging Point,EV Charging Point,"2 x  3kW 16A  Type 2 Mennekes, 2 x  7kW 32A  Type 2 Mennekes",,,,,,,,,ZapMap,7/11/18,Becki Clark
Novotel Birmingham City Centre,"70 Broad Street, Birmingham, West Midlands, B1 2HT",52.476210,-1.913290,Installed and operating,Operating,Commercial,Commercial,POLAR,,,,,,EV Charging Point,EV Charging Point,2 x  3kW 16A  Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
IBIS Birmingham Bordersley Circus Hotel,"1 Bordersley Park Road, Bordesley Green, Birmingham, West Midlands, B10 0PD",52.472670,-1.873650,Installed and operating,Operating,Commercial,Commercial,POD Point Open Charge,,,,,,EV Charging Point,EV Charging Point,4 x  7kW 32A  Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Birmingham Marriott Hotel,"12 Hagley Road, Five Ways, Birmingham, West Midlands, B18 8SJ",52.471900,-1.930900,Installed and operating,Operating,Commercial,Commercial,Other,,,,,,EV Charging Point,EV Charging Point,1 x  7kW 32A  Type 2 Mennekes,,,,,,,,,ZapMap,7/11/18,Becki Clark
Domestic RHI Deployment,Birmingham City,52.480531,-1.897574,Installed and operating,Operating,Private,Private,N/A,Various,,,,,Domestic RHI Accredited Installations,RHI,Various,,,,,,52 accredited installations as of February 2018,,,https://www.gov.uk/government/statistics/rhi-deployment-data-february-2018,7/11/18,Becki Clark
Non-domestic RHI Deployment,Birmingham City,52.480531,-1.897574,Installed and operating,Operating,"Private, Commercial, Council.",Mixture,Mixture,Various,,,9.3,,,RHI,,,,,,,24 accredited installations totalling 9.3 MW heat as of February 2018,,,https://www.ofgem.gov.uk/environmental-programmes/non-domestic-rhi/contacts-guidance-and-resources/public-reports-and-data and https://www.gov.uk/government/statistics/rhi-deployment-data-february-2018,7/11/18,Becki Clark
Witton Hydro,"87 Witton Lodge Rd, Birmingham B23 5JD",52.536693,-1.868473,Proposed,Planned,,Mixture,,,0.004,,,,Hydroelectric,Hydroelectric ,,,11,,,,,,,Community Workshops,11/28/2018,
Witton Lodge Eco Centre,"87 Witton Lodge Rd, Birmingham B23 5JD",52.536693,-1.868473,Proposed,Planned,,Mixture,,,0,,,,Micro hydro,Hydroelectric ,,,0,,,,,,,Community Workshops,11/28/2018,
Edgbaston Hydro,"Edgbaston Resevoir, Birmingham B16 0AA",52.479868,-1.937105,Potential,Potential,,Mixture,,,,,,,,Hydroelectric ,,,0,,,,,,,Community Workshops,11/28/2018,
Sutton Park Hydro & Bio Energy,"Thornhill Rd, Sutton Coldfield B74 3EW",52.583586,-1.873797,Potential ,Potential,,Mixture,,,,,,,,Hydroelectric ,,,0,,,,,,,Community Workshops,11/28/2018,
Minworth AD Plant,"Kingsbury Rd, Minworth, Sutton Coldfield B76 9DP",52.530036,-1.755217,Operating,Operating,Severn Trent Water,Commercial,STW,STW,8,,,,AD Gas to grid,Anaerobic Digestion,,,21529,,,,,,,Community Workshops,11/28/2018,
Moseley Road Baths,"Moseley Rd, Baths, Birmingham B12 9BX",52.457601,-1.88577,Potential,Potential,,Mixture,,,N/A,,,,,Energy and Watersaving,,,,,,,,,,Community Workshops,11/28/2018,
